"new_code","totally_manual_megares"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:MEXE"
"ARO:0010002","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_MFS_efflux_pumps:MDRL"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRASM"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:BMR"
"ARO:3000112","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:VCMA"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRBSM"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADED"
"ARO:3000112","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:ABEM"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:EMHC"
"ARO:0010004","Drugs:Multi-drug_resistance:Multi-drug_RND_efflux_regulator:ASMA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:TTGG"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:SDEY"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ACRD"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:KDEA"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_regulator:BAES"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:KMRA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:BEPF"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRCSM"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:EMRRSM"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:CMEA"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:CMEB"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:CMEF"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRD"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTC"
"ARO:3000112","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:NORM"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:BCR"
"ARO:0010003","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_SMR_efflux_pumps:KPNO"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:TTGR"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:TTGA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:TTGC"
"ARO:0010002","Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRBM"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:CMEC"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:CMED"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:CMEE"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:SDEX"
"ARO:3000112","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MDTK"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:ROBA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:BEPC"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:SEPA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXD"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VCEC"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:BEPD"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTB"
"ARO:0010002","Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRG"
"ARO:0010004","Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_RND_efflux_pumps:MDTA"
"ARO:0010002","Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRCM"
"ARO:0010002","Multi-compound:Drug_and_metal_resistance:Drug_and_metal_MFS_efflux_pumps:PMRAM"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:MTRD"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:MTRC"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:SDEA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VCEA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXF"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXB"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXH"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXK"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:FARB"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:MTRE"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXE"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXC"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:FARR"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADEE"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADET1"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VCEB"
"ARO:3000112","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MEPA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:SME"
"ARO:3000112","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:HMRM"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:SMET"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:VCER"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADET2"
"ARO:0010003","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_SMR_efflux_regulator:PHOR"
"ARO:3000112","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:BEXA"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:GADW"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:MEXB"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:MTRF"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_regulator:QACR"
"ARO:0010004","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ACRC"
"ARO:0010002","Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:QACAB"
