"V1","d"
"CRP","ARO:3000518"
"MEXF","ARO:3000804"
"MEXX","ARO:3003034"
"MEXQ","ARO:3003698"
"MEXH","ARO:3000807"
"ADES","ARO:3000549"
"CPXAR","ARO:3004054"
"TTGB","ARO:3000777"
"MEXQ","ARO:3003699"
"MEXT","ARO:3000814"
"EVGS","ARO:3000833"
"ACRB","ARO:3004042"
"KPN","ARO:3004597"
"CEOB","ARO:3003010"
"SME","ARO:3003052"
"BLT","ARO:3003006"
"ACRS","ARO:3000656"
"OQXA","ARO:3003922"
"OQXB","ARO:3003923"
"AXY","ARO:3004144"
"OPRZ","ARO:3004142"
"EFPA","ARO:3003955"
"EMHC","ARO:3000379"
"MEXE","ARO:3000803"
"SME","ARO:3003066"
"SME","ARO:3003053"
"SMR","ARO:3003063"
"FARA","ARO:3003961"
"MDTK","ARO:3001327"
"AMRB","ARO:3002983"
"AXY","ARO:3004143"
"KPN","ARO:3004588"
"AMRA","ARO:3002982"
"CEOA","ARO:3003009"
"CPXAR","ARO:3000830"
"OPRN","ARO:3000805"
"MDTG","ARO:3001329"
"MDTP","ARO:3003550"
"MDTO","ARO:3003549"
"YOGI","ARO:3003952"
"MEXQ","ARO:3003700"
"SOXR","ARO:3004107"
"MEXN","ARO:3003704"
"EFRB","ARO:3003949"
"SME","ARO:3003067"
"SME","ARO:3003051"
"MEXN","ARO:3003705"
"TTGA","ARO:3000377"
"MTRD","ARO:3000811"
"ADER","ARO:3000553"
"MEXE","ARO:3000778"
"ADEI","ARO:3000780"
"ADEJ","ARO:3000781"
"MEPR","ARO:3000746"
"FARB","ARO:3003962"
"MDTH","ARO:3001216"
"MTRC","ARO:3000810"
"ACRA","ARO:3004041"
"MEXG","ARO:3000806"
"ARMR","ARO:3004056"
"BCR1","ARO:3003801"
"MEXL","ARO:3003710"
"EFMA","ARO:3003954"
"SMR","ARO:3003064"
"QACG","ARO:3007014"
"GADW","ARO:3003838"
"NORA","ARO:3004667"
"PMRA","ARO:3000822"
"QACF","ARO:3005098"
"QACL","ARO:3005098"
"MEXY","ARO:3003033"
"MEPA","ARO:3000026"
"QACK","ARO:3007014"
"QACPB","ARO:3007015"
"NORA","ARO:3000391"
"ADEN","ARO:3000559"
"ADEL","ARO:3000620"
"EFRA","ARO:3003948"
"QACE","ARO:3005009"
"QACAB","ARO:3003046"
