"X","habitat"
"GMGC10.000_000_305.UNKNOWN","cat gut"
"GMGC10.000_000_305.UNKNOWN","dog gut"
"GMGC10.000_000_305.UNKNOWN","human gut"
"GMGC10.000_000_305.UNKNOWN","human skin"
"GMGC10.000_000_780.RPOB","built-environment"
"GMGC10.000_000_780.RPOB","cat gut"
"GMGC10.000_000_780.RPOB","dog gut"
"GMGC10.000_000_780.RPOB","human gut"
"GMGC10.000_000_780.RPOB","human oral"
"GMGC10.000_000_780.RPOB","human skin"
"GMGC10.000_000_780.RPOB","mouse gut"
"GMGC10.000_000_780.RPOB","pig gut"
"GMGC10.000_000_955.UNKNOWN","cat gut"
"GMGC10.000_000_955.UNKNOWN","dog gut"
"GMGC10.000_000_955.UNKNOWN","human gut"
"GMGC10.000_000_955.UNKNOWN","human skin"
"GMGC10.000_000_955.UNKNOWN","pig gut"
"GMGC10.000_000_955.UNKNOWN","wastewater"
"GMGC10.000_001_223.UNKNOWN","dog gut"
"GMGC10.000_001_223.UNKNOWN","human gut"
"GMGC10.000_001_519.ALR","dog gut"
"GMGC10.000_001_519.ALR","human gut"
"GMGC10.000_001_519.ALR","human skin"
"GMGC10.000_003_827.UGD","cat gut"
"GMGC10.000_003_827.UGD","dog gut"
"GMGC10.000_003_827.UGD","human gut"
"GMGC10.000_003_827.UGD","human skin"
"GMGC10.000_004_929.UGD","dog gut"
"GMGC10.000_004_929.UGD","human gut"
"GMGC10.000_004_929.UGD","human skin"
"GMGC10.000_004_929.UGD","pig gut"
"GMGC10.000_004_929.UGD","wastewater"
"GMGC10.000_005_627.UGD","dog gut"
"GMGC10.000_005_627.UGD","human skin"
"GMGC10.000_007_170.UGD","cat gut"
"GMGC10.000_007_170.UGD","dog gut"
"GMGC10.000_007_170.UGD","human gut"
"GMGC10.000_007_170.UGD","human nose"
"GMGC10.000_007_170.UGD","human oral"
"GMGC10.000_007_170.UGD","human skin"
"GMGC10.000_007_170.UGD","human vagina"
"GMGC10.000_007_170.UGD","isolate"
"GMGC10.000_007_170.UGD","pig gut"
"GMGC10.000_007_170.UGD","wastewater"
"GMGC10.000_007_361.VANW","dog gut"
"GMGC10.000_007_361.VANW","human gut"
"GMGC10.000_008_238.LDHA","dog gut"
"GMGC10.000_008_243.UNKNOWN","cat gut"
"GMGC10.000_008_243.UNKNOWN","dog gut"
"GMGC10.000_008_243.UNKNOWN","human gut"
"GMGC10.000_009_400.VANR","cat gut"
"GMGC10.000_009_400.VANR","dog gut"
"GMGC10.000_009_400.VANR","human gut"
"GMGC10.000_009_400.VANR","human skin"
"GMGC10.000_010_129.UGD","cat gut"
"GMGC10.000_010_129.UGD","dog gut"
"GMGC10.000_010_129.UGD","human gut"
"GMGC10.000_010_129.UGD","pig gut"
"GMGC10.000_011_443.UGD","dog gut"
"GMGC10.000_011_443.UGD","human gut"
"GMGC10.000_011_443.UGD","pig gut"
"GMGC10.000_011_604.UNKNOWN","dog gut"
"GMGC10.000_011_604.UNKNOWN","human gut"
"GMGC10.000_012_387.UGD","dog gut"
"GMGC10.000_012_631.VANY","dog gut"
"GMGC10.000_012_631.VANY","human gut"
"GMGC10.000_012_936.UGD","cat gut"
"GMGC10.000_012_936.UGD","dog gut"
"GMGC10.000_012_936.UGD","human gut"
"GMGC10.000_013_528.VANW","cat gut"
"GMGC10.000_013_528.VANW","dog gut"
"GMGC10.000_013_528.VANW","human gut"
"GMGC10.000_014_884.UGD","dog gut"
"GMGC10.000_014_884.UGD","human gut"
"GMGC10.000_014_884.UGD","human skin"
"GMGC10.000_014_884.UGD","pig gut"
"GMGC10.000_016_160.UGD","cat gut"
"GMGC10.000_016_160.UGD","dog gut"
"GMGC10.000_016_160.UGD","human gut"
"GMGC10.000_016_160.UGD","pig gut"
"GMGC10.000_016_160.UGD","soil"
"GMGC10.000_017_672.UNKNOWN","dog gut"
"GMGC10.000_017_672.UNKNOWN","pig gut"
"GMGC10.000_018_743.DDL","dog gut"
"GMGC10.000_018_743.DDL","human gut"
"GMGC10.000_018_790.VANW","dog gut"
"GMGC10.000_018_790.VANW","human gut"
"GMGC10.000_018_790.VANW","human skin"
"GMGC10.000_020_248.LSA","dog gut"
"GMGC10.000_020_248.LSA","human gut"
"GMGC10.000_020_248.LSA","pig gut"
"GMGC10.000_020_248.LSA","wastewater"
"GMGC10.000_021_888.VANW","cat gut"
"GMGC10.000_021_888.VANW","dog gut"
"GMGC10.000_021_888.VANW","human gut"
"GMGC10.000_021_977.BCRA","dog gut"
"GMGC10.000_022_534.VANW","cat gut"
"GMGC10.000_022_534.VANW","dog gut"
"GMGC10.000_022_534.VANW","human gut"
"GMGC10.000_024_026.UGD","cat gut"
