"X1","X2","d"
"blaMOX-9","NG_049322.1","ARO:3002191"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"blaPER-2","NG_049961.1","ARO:3002364"
"vanY-N","NG_048515.1","ARO:3002956"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"vanY-N","NG_048515.1","ARO:3002956"
"estX","NG_245786.1","ARO:3002895"
"cmeB_RE","NG_242531.1","ARO:3000784"
"vanY-N","NG_048515.1","ARO:3002956"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"vanY-N","NG_048515.1","ARO:3002956"
"cmeB_RE","NG_242531.1","ARO:3000784"
"blaCMH-2","NG_048767.1","ARO:3006854"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"vanY-N","NG_048515.1","ARO:3002956"
"vanY-N","NG_048515.1","ARO:3002956"
"vanY-N","NG_048515.1","ARO:3002956"
"vanY-N","NG_048515.1","ARO:3002956"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"blaPEN-bcc","NG_048030.1","ARO:3009024"
"vanY-N","NG_048515.1","ARO:3002956"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"vanY-N","NG_048515.1","ARO:3002956"
"vanY-N","NG_048515.1","ARO:3002956"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"estX","NG_245780.1","ARO:3002895"
"vanY-N","NG_048515.1","ARO:3002956"
"blaOXA-1206","NG_231555.1","ARO:3008618"
"vanY-N","NG_048515.1","ARO:3002956"
"vanY-N","NG_048515.1","ARO:3002956"
"blaMOX-9","NG_049322.1","ARO:3002191"
