protein_id	cluster_90	cluster_95	cluster_975	cluster_99
abricate-argannot@@@argannot~~~(AGly)AAC(6')-Isa~~~NG_047311:101-574~~~	3105	3934	5070	7901
abricate-argannot@@@argannot~~~(AGly)aac(2')-IIa_Bg~~~NG_047225:101-883~~~	2358	3051	4035	6415
abricate-argannot@@@argannot~~~(AGly)aac(2')-IIb~~~NG_055672:1-723~~~	2547	3273	4306	6788
abricate-argannot@@@argannot~~~(AGly)aac(2')-Id~~~U72743:386-1018~~~	2747	3531	4607	7185
abricate-argannot@@@argannot~~~(AGly)aac(3)-IIIb~~~L06160:984-1721~~~	2491	3203	4228	6683
abricate-argannot@@@argannot~~~(AGly)aac(3)-IIIc~~~L06161:106-945~~~	2033	2629	3419	5379
abricate-argannot@@@argannot~~~(AGly)aac(6')-Iae~~~AB104852:1935-2486~~~	2933	3739	4854	7605
abricate-argannot@@@argannot~~~(AGly)aac(6')-Ian~~~NG_052170:101-673~~~	2871	3667	4768	7418
abricate-argannot@@@argannot~~~(AGly)aac(6')-Ia~~~NG_052294:101-703~~~	2826	3618	4714	7324
abricate-argannot@@@argannot~~~(AGly)aac(6')-Iz~~~NG_052343:1-462~~~	3156	3988	5141	8013
abricate-argannot@@@argannot~~~(AGly)aac(6')~~~NG_052413:101-583~~~	3082	3903	5036	7855
abricate-argannot@@@argannot~~~(AGly)aac-IIIa~~~X55652:1124-1939~~~	2191	2843	3765	5987
abricate-argannot@@@argannot~~~(AGly)aac-IVa~~~X01385:244-1029~~~	2253	3041	4025	6402
abricate-argannot@@@argannot~~~(AGly)aac2-Ia~~~L06156:264-800~~~	2966	3774	4892	7675
abricate-argannot@@@argannot~~~(AGly)aac2-Ib~~~U41471:266-822~~~	2834	3626	4724	7346
abricate-argannot@@@argannot~~~(AGly)aac2-Ic~~~U72714:373-918~~~	2949	3756	4873	7649
abricate-argannot@@@argannot~~~(AGly)aac2-Ie~~~NC_011896:3039059-3039607~~~	2940	3747	4864	7630
abricate-argannot@@@argannot~~~(AGly)aac3-IIa~~~X51534:91-951~~~	1684	2181	2848	4195
abricate-argannot@@@argannot~~~(AGly)aac3-IIc~~~X54723:819-1679~~~	1684	2181	3246	4906
abricate-argannot@@@argannot~~~(AGly)aac3-IId~~~EU022314:1-861~~~	1684	2181	3247	4907
abricate-argannot@@@argannot~~~(AGly)aac3-IIe~~~EU022315:1-861~~~	1684	2181	2848	4908
abricate-argannot@@@argannot~~~(AGly)aac3-IXa~~~M55427:274-1119~~~	2008	2597	3374	5283
abricate-argannot@@@argannot~~~(AGly)aac3-Ib-Aac6-Ib~~~AF355189:1435-2439~~~	1430	1870	2469	3702
abricate-argannot@@@argannot~~~(AGly)aac3-Ib~~~L06157:555-1085~~~	2982	3793	4917	7709
abricate-argannot@@@argannot~~~(AGly)aac3-Ic~~~AJ511268:1295-1765~~~	3143	3974	5126	7995
