"X1","X2","X3"
"ncbi~~~fosA11~~~NG_245156.1~~~FOSFOMYCIN_1","3007371","Strict"
"ncbi~~~cphA-18~~~NG_245844.1~~~CARBAPENEM_1","3003094","Strict"
"ncbi~~~blaOXA-1433~~~NG_246049.1~~~BETA-LACTAM_1","3006099","Strict"
"ncbi~~~cphA-10~~~NG_047671.1~~~CARBAPENEM_1","3003094","Strict"
"ncbi~~~blaOXA-1209~~~NG_245980.1~~~CARBAPENEM_1","3006103","Strict"
"ncbi~~~cphA-18~~~NG_245844.1~~~CARBAPENEM_1","3003094","Strict"
"ncbi~~~blaOXA-1209~~~NG_245980.1~~~CARBAPENEM_1","3006103","Strict"
"ncbi~~~cphA-18~~~NG_245844.1~~~CARBAPENEM_1","3003094","Strict"
"ncbi~~~blaOXA-1209~~~NG_245980.1~~~CARBAPENEM_1","3006103","Strict"
"ncbi~~~mleBCA~~~NG_245857.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~fosS~~~NG_245787.1~~~FOSFOMYCIN_1","3007372","Strict"
"ncbi~~~mleBRB~~~NG_245859.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleCBF~~~NG_245860.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~nms~~~NG_244668.1~~~AMIKACIN;CLINDAMYCIN;DOXYCYCLINE;ERYTHROMYCIN;GENTAMICIN;MINOCYCLINE;PLEUROMUTILIN;TETRACYCLINE_1","3007494","Loose"
"ncbi~~~mleCBF~~~NG_245860.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleCBF~~~NG_245860.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~estX-3~~~NG_245845.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleBRB~~~NG_245859.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleBCA~~~NG_245857.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~blaCEMC19-1~~~NG_244478.1~~~CARBAPENEM_1","3007855","Loose"
"ncbi~~~blaOXA-1434~~~NG_246050.1~~~BETA-LACTAM_1","3001809","Loose"
"ncbi~~~blaSPI-3~~~NG_245125.1~~~CARBAPENEM_1","3000841","Loose"
"ncbi~~~blaCEMC19-1~~~NG_244478.1~~~CARBAPENEM_1","3007855","Loose"
"ncbi~~~mleBRB~~~NG_245859.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~blaAVDC-1~~~NG_244670.1~~~CEPHALOSPORIN_1","3003854","Loose"
"ncbi~~~blaOXA-1435~~~NG_246051.1~~~BETA-LACTAM_1","3005936","Strict"
"ncbi~~~mleBCA~~~NG_245857.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~blaADC-394~~~NG_244468.1~~~CEPHALOSPORIN_1","3006313","Strict"
"ncbi~~~cphA-1~~~NG_047667.1~~~CARBAPENEM_1","3003094","Strict"
"ncbi~~~mlePBA~~~NG_245861.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mlePBB~~~NG_245862.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleBCB~~~NG_245858.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~ant(3'')-Ic~~~NG_246019.1~~~SPECTINOMYCIN;STREPTOMYCIN_1","3002619","Loose"
"ncbi~~~blaADC-387~~~NG_244461.1~~~CEPHALOSPORIN_1","3006375","Strict"
"ncbi~~~mleCBF~~~NG_245860.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleBRB~~~NG_245859.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~blaCHA-1~~~NG_246034.1~~~CEPHALOSPORIN_1","3009024","Loose"
"ncbi~~~blaOXA-1378~~~NG_245037.1~~~BETA-LACTAM_1","3001772","Loose"
"ncbi~~~mleBCA~~~NG_245857.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~blaCHC-1~~~NG_246035.1~~~CEPHALOSPORIN_1","3006999","Loose"
"ncbi~~~blaCHA-1~~~NG_246034.1~~~CEPHALOSPORIN_1","3009024","Loose"
"ncbi~~~blaOXA-1378~~~NG_245037.1~~~BETA-LACTAM_1","3001772","Loose"
"ncbi~~~mleBCA~~~NG_245857.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleBCA~~~NG_245857.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mleCBF~~~NG_245860.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~mlePBB~~~NG_245862.1~~~TYLOSIN_1","3007459","Loose"
"ncbi~~~blaMIM-1~~~NG_244533.1~~~CARBAPENEM_1","3007374","Loose"
