"V1","V2","d"
"bla","WP_005827792.1","ARO:3002999"
"vanR","WP_011461303.1","ARO:3003728"
"lsa","WP_011133547.1","ARO:3003111"
"aac(6')","WP_128470137.1","ARO:3002572"
"vanR","WP_021418928.1","ARO:3002926"
"vanR","WP_003436401.1","ARO:3002926"
"bla","WP_005816369.1","ARO:3003559"
"aac(6')","WP_065217783.1","ARO:3002572"
"vanS","WP_063856744.1","ARO:3002937"
"vanW","WP_063856764.1","ARO:3002964"
"aac(6')","WP_318245540.1","ARO:3002572"
"bla","WP_005795628.1","ARO:3003559"
"vanT","WP_021418922.1","ARO:3002972"
"catA","WP_032488555.1","ARO:3004460"
"aac(6')","WP_063840277.1","ARO:3002572"
"aph(3')","WP_063841674.1","ARO:3002648"
"vanG","WP_063856696.1","ARO:3002909"
"vanG","PBI24747.1","ARO:3002909"
"bla","WP_032579291.1","ARO:3006225"
"bla","WP_254887308.1","ARO:3008394"
"vanR","WP_063856721.1","ARO:3002919"
"vat","WP_047211550.1","ARO:3002841"
"vanR","WP_063856716.1","ARO:3002919"
"tet","WP_003454408.1","ARO:3000556"
"msr","WP_000420317.1","ARO:3003109"
"catA","WP_043774378.1","ARO:3004454"
"tet","WP_002602099.1","ARO:3000196"
"vanT","CZR78671.1","ARO:3002972"
"bla","WP_064964607.1","ARO:3007801"
"vanR","WP_063856715.1","ARO:3002923"
"blaOXA","WP_242934113.1","ARO:3008518"
"blaOXA","WP_109545079.1","ARO:3005852"
"catA","WP_002570989.1","ARO:3002686"
"blaR1","WP_000952923.1","ARO:3000215"
"bla","WP_008659027.1","ARO:3006226"
"bla","WP_254888401.1","ARO:3008394"
"aac(3)","WP_058179966.1","ARO:3002537"
"aph(3'')","WP_001082319.1","ARO:3002639"
"bla","WP_063857819.1","ARO:3002481"
"mgt","WP_063854495.1","ARO:3000865"
"bla","WP_030892446.1","ARO:3000090"
"cml","WP_063844229.1","ARO:3002700"
"erm","WP_053138973.1","ARO:3001303"
"aac(3)-I","ABL71428.1","ARO:3002529"
"bla","WP_010926363.1","ARO:3008082"
"bla","WP_011053164.1","ARO:3000090"
"lsa","WP_002294513.1","ARO:3003206"
"ant(6)","WP_087343787.1","ARO:3002627"
"catA","WP_063843219.1","ARO:3002674"
"catA","WP_063843220.1","ARO:3002687"
"bla","WP_087344360.1","ARO:3002877"
"cml","WP_024160909.1","ARO:3002699"
"catA","WP_063843208.1","ARO:3004657"
"erm","WP_063844861.1","ARO:3001305"
"bla","WP_003178584.1","ARO:3007101"
"erm","WP_063844504.1","ARO:3000600"
"bla","WP_007683232.1","ARO:3007846"
"vga","WP_012779620.1","ARO:3002831"
"vanS","WP_011461302.1","ARO:3002931"
"fosM","WP_102272729.1","ARO:3007097"
"catA","WP_035203840.1","ARO:3004452"
"blaOXA","WP_063864194.1","ARO:3005743"
"aph(3')-II","WP_003113011.1","ARO:3002645"
"bla","WP_085562386.1","ARO:3006915"
"bla","WP_058468956.1","ARO:3000606"
"blaOXA","WP_000586782.1","ARO:3001415"
"blaOXA","WP_014845076.1","ARO:3001424"
"fosB","WP_000616116.1","ARO:3004674"
"arr","WP_063842202.1","ARO:3002846"
"vat","WP_005164767.1","ARO:3003744"
"bla","WP_011222052.1","ARO:3003203"
"bla","WP_171476787.1","ARO:3006223"
"blaCAU","WP_063859390.1","ARO:3000855"
"erm","WP_063844492.1","ARO:3000598"
"aac(3)-I","WP_034006142.1","ARO:3002531"
"arr","WP_063842214.1","ARO:3002848"
"arr","WP_052238312.1","ARO:3002850"
"bla-A","WP_002977989.1","ARO:3004766"
"aadS","WP_003013318.1","ARO:3004683"
"catB","WP_000800689.1","ARO:3004660"
"aph(3')","WP_087587933.1","ARO:3002644"
"cml","WP_001747811.1","ARO:3002705"
"ampC","WP_128268282.1","ARO:3009041"
