"d","V2","V3","V4"
"NZ_ABDU01000081","ARO:3000556","Gene: tet(44)_1_NZ_ABDU01000081","Threshold: Strict"
"1_Y15705","ARO:3002942","Gene: VanH_bc_1_Y15705","Threshold: Strict"
"NG_050609","ARO:3001742","Gene: blaOXA-287_1_NG_050609","Threshold: Perfect"
"NC_010937","ARO:3000195","Gene: tetB(P)_1_NC_010937","Threshold: Perfect"
"NC_003197","ARO:3002571","Gene: aac(6')-Iaa_1_NC_003197","Threshold: Perfect"
"NG_048745","ARO:3005576","Gene: blaCARB-42_1_NG_048745","Threshold: Perfect"
"ENA_ACB88605","ARO:3002665","Gene: kmr_1_ENA_ACB88605","Threshold: Loose"
"NC_002013","ARO:3004455","Gene: cat(pC194)_1_NC_002013","Threshold: Strict"
"1_Y15704","ARO:3000010","Gene: VanA_bc_1_Y15704","Threshold: Strict"
"NC_000964","ARO:3004541","Gene: mph(K)_1_NC_000964","Threshold: Perfect"
"ENA_SOX29786","ARO:3004730","Gene: tva(A)_1_ENA_SOX29786","Threshold: Perfect"
"NG_048124","ARO:3007119","Gene: tet(O/32/O)_6_NG_048124","Threshold: Perfect"
"NG_050610","ARO:3001748","Gene: blaOXA-293_1_NG_050610","Threshold: Perfect"
"NG_050611","ARO:3001762","Gene: blaOXA-307_1_NG_050611","Threshold: Perfect"
"MN590304","ARO:3003980","Gene: NarA_1_MN590304","Threshold: Loose"
"NG_047843","ARO:3001305","Gene: erm(U)_1_NG_047843","Threshold: Strict"
"NC_011996","ARO:3003440","Gene: mecB_1_NC_011996","Threshold: Perfect"
"NG_048749","ARO:3005580","Gene: blaCARB-46_1_NG_048749","Threshold: Perfect"
"NG_070225","ARO:3005023","Gene: Cfr(E)_1_NG_070225","Threshold: Perfect"
"NZ_JH815495","ARO:3007112","Gene: nimJ_1_NZ_JH815495","Threshold: Perfect"
"NZ_AUJS01000017","ARO:3000190","Gene: tet(O/32/O)_3_NZ_AUJS01000017","Threshold: Strict"
"NC_004461","ARO:3008823","Gene: blaZ_118_NC_004461","Threshold: Strict"
"NZ_ALWG01000005","ARO:3008823","Gene: blaZ_120_NZ_ALWG01000005","Threshold: Strict"
"NC_012555","ARO:3002596","Gene: aac(6')-IIc_1_NC_012555","Threshold: Perfect"
"NC_009838","ARO:3002540","Gene: aac(3)-VIa_2_NC_009838","Threshold: Strict"
"NC_007168","ARO:3000617","Gene: mecA_8_NC_007168","Threshold: Strict"
"NC_005206","ARO:3000596","Gene: erm(X)_4_NC_005206","Threshold: Strict"
