"V1","V2"
"tet(39)_2","ARO:3000566"
"CmlA9_1","ARO:3005043"
"mdf(A)_1","ARO:3001328"
"blaCTX-M-63_1","ARO:3001924"
"blaCARB-4_1","ARO:3002243"
"dfrA19_1","ARO:3003015"
"blaOXA-1186_1","ARO:3008602"
"CmlA2_1","ARO:3002698"
"FloR_3","ARO:3002705"
"FloR_4","ARO:3002705"
"FloR_8","ARO:3002705"
"FloR_9","ARO:3002705"
"mcr-3.38_1","ARO:3007251"
"mcr-8.2_1","ARO:3007229"
"mcr-3.33_1","ARO:3007248"
"mcr-10.2","ARO:3007277"
"mcr-3.27_1","ARO:3007253"
"mcr-9.1_1","ARO:3004684"
"mcr-9.3_1","ARO:3004684"
"mcr-9_1","ARO:3004684"
"NarB_1","ARO:3003980"
