protein_id	cluster_90	cluster_95	cluster_975	cluster_98	cluster_99
resfinder@@@aac(6')-Ib_2_M23634	L.739	L.739.0	L.739.0.3	L.739.0.3.0	L.739.0.3.0.0
resfinder@@@aac(6')-Ib11_1_AY136758	L.739	L.739.0	L.739.0.4	L.739.0.4.0	L.739.0.4.0.0
resfinder@@@aac(6')-30-aac(6')-Ib'_1_AJ584652	L.1450	L.1450.0	L.1450.0.0	L.1450.0.0.0	L.1450.0.0.0.0
resfinder@@@aac(6')-Iaj_1_AB709942	L.2911	L.2911.0	L.2911.0.0	L.2911.0.0.0	L.2911.0.0.0.0
resfinder@@@aac(6')-Ian_1_AP014611	L.2871	L.2871.0	L.2871.0.0	L.2871.0.0.0	L.2871.0.0.0.0
resfinder@@@aac(6')-Iak_1_AB894482	L.3155	L.3155.0	L.3155.0.0	L.3155.0.0.0	L.3155.0.0.0.0
resfinder@@@aac(6')-Ib-Hangzhou_1_FJ503047	L.739	L.739.0	L.739.0.0	L.739.0.0.0	L.739.0.0.0.0
resfinder@@@aac(6')-Iid_1_AJ584700	L.2939	L.2939.0	L.2939.0.0	L.2939.0.0.0	L.2939.0.0.0.0
resfinder@@@aac(6')-Iih_1_AJ584701	L.2932	L.2932.0	L.2932.0.0	L.2932.0.0.0	L.2932.0.0.0.0
resfinder@@@aac(6')-Iz_2_AB971834	L.3156	L.3156.0	L.3156.0.0	L.3156.0.0.0	L.3156.0.0.0.0
resfinder@@@aac(6')-29b_1_AF263519	L.3349	L.3349.0	L.3349.0.1	L.3349.0.1.0	L.3349.0.1.0.0
resfinder@@@aac(6')-29a_1_AF263519	L.3349	L.3349.0	L.3349.0.1	L.3349.0.1.0	L.3349.0.1.0.0
resfinder@@@aac(6')-Iaa_1_NC_003197	L.3239	L.3239.0	L.3239.0.0	L.3239.0.0.0	L.3239.0.0.0.0
resfinder@@@aac(6')-Ih_2_KT778788	L.3223	L.3223.0	L.3223.0.0	L.3223.0.0.0	L.3223.0.0.0.0
resfinder@@@aac(6')-Ix_1_AF031332	L.3224	L.3224.0	L.3224.0.0	L.3224.0.0.0	L.3224.0.0.0.0
resfinder@@@aac(6')-Il_1_U13880	L.3176	L.3176.0	L.3176.0.0	L.3176.0.0.0	L.3176.0.0.0.0
resfinder@@@aac(6')-Ia_2_M86913	L.2905	L.2905.0	L.2905.0.0	L.2905.0.0.0	L.2905.0.0.0.0
resfinder@@@aac(6')-Iag_1_AB472901	L.3026	L.3026.0	L.3026.0.0	L.3026.0.0.0	L.3026.0.0.0.0
resfinder@@@aac(2')-IIa_1_AB669090	L.2358	L.2358.0	L.2358.0.0	L.2358.0.0.0	L.2358.0.0.0.0
resfinder@@@kamB_1_AJ629123	L.3142	L.3142.0	L.3142.0.0	L.3142.0.0.0	L.3142.0.0.0.0
resfinder@@@grmO_1_AY524043	L.1734	L.1734.0	L.1734.0.0	L.1734.0.0.0	L.1734.0.0.0.0
resfinder@@@fmrO_1_Q08325	L.1788	L.1788.0	L.1788.0.0	L.1788.0.0.0	L.1788.0.0.0.0
resfinder@@@grmB_1_M55521	L.2124	L.2124.0	L.2124.0.0	L.2124.0.0.0	L.2124.0.0.0.0
resfinder@@@grmA_1_M55520	L.2125	L.2125.0	L.2125.0.0	L.2125.0.0.0	L.2125.0.0.0.0
resfinder@@@kgmB_1_S60108	L.2007	L.2007.0	L.2007.0.0	L.2007.0.0.0	L.2007.0.0.0.0
resfinder@@@sgm_1_M87057	L.2126	L.2126.0	L.2126.0.0	L.2126.0.0.0	L.2126.0.0.0.0
resfinder@@@aph(3')-VI_2_APPJ01000012	L.2369	L.2369.0	L.2369.0.0	L.2369.0.0.0	L.2369.0.0.0.0
resfinder@@@aph(3')-IX_1_APPN01000061	L.2260	L.2260.0	L.2260.0.0	L.2260.0.0.0	L.2260.0.0.0.0
resfinder@@@ant(6)-Ia_5_AB247327	L.1671	L.1671.0	L.1671.0.0	L.1671.0.0.0	L.1671.0.0.0.0
resfinder@@@aadA13_2_NC010643	L.2280	L.2280.0	L.2280.0.0	L.2280.0.0.0	L.2280.0.0.0.0
resfinder@@@aadA11_2_AJ567827	L.1419	L.1419.2	L.1419.2.0	L.1419.2.0.0	L.1419.2.0.0.0
resfinder@@@aadA10_2_AM087405	L.739	L.739.0	L.739.0.2	L.739.0.2.0	L.739.0.2.0.0
