"unigene","aro"
"GMGC10.029_357_382.STRB","ARO:3002658"
"GMGC10.008_012_191.SPH","ARO:3002658"
"GMGC10.170_456_610.STRB","ARO:3002658"
"GMGC10.002_063_752.UNKNOWN","ARO:3002528"
"GMGC10.014_038_935.UNKNOWN","ARO:3009063"
"GMGC10.018_009_687.UNKNOWN","ARO:3003676"
"GMGC10.039_734_695.UNKNOWN","ARO:3003199"
"GMGC10.155_234_566.UNKNOWN","ARO:3002589"
"GMGC10.155_509_478.UNKNOWN","ARO:3002644"
"GMGC10.165_346_918.UNKNOWN","ARO:3002645"
"GMGC10.172_669_160.UNKNOWN","ARO:3002524"
"GMGC10.182_555_377.UNKNOWN","ARO:3002999"
"GMGC10.207_886_721.UNKNOWN","ARO:3002572"
"GMGC10.210_614_745.UNKNOWN","ARO:3004359"
"GMGC10.213_353_700.UNKNOWN","ARO:3002571"
"GMGC10.218_878_822.UNKNOWN","ARO:3003720"
"GMGC10.237_491_692.UNKNOWN","ARO:3006942"
"GMGC10.279_981_496.UNKNOWN","ARO:3004621"
"GMGC10.282_839_022.UNKNOWN","ARO:3002549"
"GMGC10.287_300_498.UNKNOWN","ARO:3002644"
