gene	cluster	centroid	is_representative
GMGC10.034_050_817.TETR	0	GMGC10.034_050_817.TETR	yes
GMGC10.001_576_215.UNKNOWN	1	GMGC10.001_576_215.UNKNOWN	yes
GMGC10.056_410_276.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.176_647_334.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.178_327_868.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.176_761_816.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.176_568_019.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.178_034_924.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.176_038_636.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.177_897_527.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.176_750_024.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.177_093_604.DPNA	2	GMGC10.268_602_541.DPNA	no
GMGC10.268_602_541.DPNA	2	GMGC10.268_602_541.DPNA	yes
GMGC10.177_236_601.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.177_892_332.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.177_940_752.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.178_136_416.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.177_601_217.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.177_064_594.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.175_221_981.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.050_920_371.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.178_111_894.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.174_901_374.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.055_965_949.DPNA	3	GMGC10.179_152_117.DPNA	no
GMGC10.179_152_117.DPNA	3	GMGC10.179_152_117.DPNA	yes
GMGC10.175_805_924.DPNA	4	GMGC10.175_805_924.DPNA	yes
GMGC10.018_283_015.DPNA	5	GMGC10.056_399_152.DPNA	no
GMGC10.176_618_214.DPNA	5	GMGC10.056_399_152.DPNA	no
GMGC10.210_898_052.DPNA	5	GMGC10.056_399_152.DPNA	no
GMGC10.056_399_152.DPNA	5	GMGC10.056_399_152.DPNA	yes
GMGC10.210_543_948.DPNA	6	GMGC10.146_533_287.DPNA	no
GMGC10.212_091_202.DPNA	6	GMGC10.146_533_287.DPNA	no
GMGC10.146_533_287.DPNA	6	GMGC10.146_533_287.DPNA	yes
GMGC10.145_857_753.DPNA	6	GMGC10.146_533_287.DPNA	no
GMGC10.047_403_702.DPNA	7	GMGC10.210_505_847.DPNA	no
GMGC10.210_505_847.DPNA	7	GMGC10.210_505_847.DPNA	yes
GMGC10.267_164_909.DPNA	8	GMGC10.210_054_380.DPNA	no
GMGC10.183_470_854.DPNA	8	GMGC10.210_054_380.DPNA	no
GMGC10.210_054_380.DPNA	8	GMGC10.210_054_380.DPNA	yes
GMGC10.146_456_507.DPNA	9	GMGC10.048_070_591.DPNA	no
GMGC10.054_967_796.DPNA	9	GMGC10.048_070_591.DPNA	no
GMGC10.048_070_591.DPNA	9	GMGC10.048_070_591.DPNA	yes
GMGC10.017_675_525.DPNA	10	GMGC10.017_675_525.DPNA	yes
GMGC10.047_267_401.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.048_838_131.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.179_489_481.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.309_094_065.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.203_511_973.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.208_993_967.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.184_556_972.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.055_431_704.DPNA	10	GMGC10.017_675_525.DPNA	no
GMGC10.177_001_558.DPNA	11	GMGC10.146_135_368.DPNA	no
GMGC10.181_709_318.DPNA	11	GMGC10.146_135_368.DPNA	no
GMGC10.177_616_685.DPNA	11	GMGC10.146_135_368.DPNA	no
GMGC10.047_233_062.DPNA	11	GMGC10.146_135_368.DPNA	no
GMGC10.146_135_368.DPNA	11	GMGC10.146_135_368.DPNA	yes
GMGC10.050_069_225.DPNA	12	GMGC10.146_717_636.DPNA	no
GMGC10.187_661_370.DPNA	12	GMGC10.146_717_636.DPNA	no
GMGC10.146_717_636.DPNA	12	GMGC10.146_717_636.DPNA	yes
GMGC10.210_152_109.DPNA	12	GMGC10.146_717_636.DPNA	no
GMGC10.183_316_177.DPNA	13	GMGC10.183_316_177.DPNA	yes
GMGC10.013_153_853.DPNA	14	GMGC10.013_153_853.DPNA	yes
GMGC10.300_482_345.DPNA	14	GMGC10.013_153_853.DPNA	no
GMGC10.204_941_661.DPNA	14	GMGC10.013_153_853.DPNA	no
GMGC10.146_949_004.DPNA	14	GMGC10.013_153_853.DPNA	no
GMGC10.298_470_283.DPNA	15	GMGC10.209_637_125.DPNA	no
GMGC10.205_559_267.DPNA	15	GMGC10.209_637_125.DPNA	no
GMGC10.211_615_880.DPNA	15	GMGC10.209_637_125.DPNA	no
GMGC10.182_763_017.DPNA	15	GMGC10.209_637_125.DPNA	no
GMGC10.056_475_919.DPNA	15	GMGC10.209_637_125.DPNA	no
GMGC10.209_637_125.DPNA	15	GMGC10.209_637_125.DPNA	yes
GMGC10.205_679_073.DPNA	16	GMGC10.051_801_095.DPNA	no
GMGC10.204_276_951.DPNA	16	GMGC10.051_801_095.DPNA	no
GMGC10.202_502_958.DPNA	16	GMGC10.051_801_095.DPNA	no
GMGC10.054_853_482.DPNA	16	GMGC10.051_801_095.DPNA	no
GMGC10.051_372_418.DPNA	16	GMGC10.051_801_095.DPNA	no
GMGC10.051_801_095.DPNA	16	GMGC10.051_801_095.DPNA	yes
GMGC10.053_483_416.DPNA	17	GMGC10.053_483_416.DPNA	yes
GMGC10.055_983_239.DPNA	18	GMGC10.055_983_239.DPNA	yes
GMGC10.052_069_737.DPNA	19	GMGC10.211_373_364.DPNA	no
GMGC10.211_373_364.DPNA	19	GMGC10.211_373_364.DPNA	yes
GMGC10.298_213_814.DPNA	19	GMGC10.211_373_364.DPNA	no
GMGC10.300_196_557.DPNA	19	GMGC10.211_373_364.DPNA	no
GMGC10.206_764_121.DPNA	19	GMGC10.211_373_364.DPNA	no
GMGC10.309_138_127.DPNA	19	GMGC10.211_373_364.DPNA	no
GMGC10.034_177_891.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.017_560_920.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.019_946_208.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.052_649_957.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.055_256_367.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.308_655_049.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.211_699_230.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.146_776_316.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.056_158_768.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.267_326_321.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.306_912_594.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.147_074_009.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.048_542_692.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.181_355_885.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.211_737_653.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.047_096_147.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.203_919_856.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.293_356_322.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.260_475_584.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.265_995_917.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.256_600_539.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.186_054_280.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.052_567_618.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.205_063_132.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.178_484_687.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.210_167_542.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.178_634_769.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.205_442_723.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.147_005_367.DPNA	20	GMGC10.211_021_840.DPNA	no
GMGC10.211_021_840.DPNA	20	GMGC10.211_021_840.DPNA	yes
GMGC10.208_653_973.DPNA	21	GMGC10.208_653_973.DPNA	yes
GMGC10.209_928_770.DPNA	22	GMGC10.209_928_770.DPNA	yes
GMGC10.005_246_944.MDTB	23	GMGC10.005_246_944.MDTB	yes
GMGC10.297_291_824.MDTC	23	GMGC10.005_246_944.MDTB	no
GMGC10.005_597_644.UNKNOWN	24	GMGC10.005_597_644.UNKNOWN	yes
GMGC10.008_806_204.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.012_459_519.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.022_920_968.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.035_227_278.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.008_780_551.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.018_001_619.MDTC	25	GMGC10.018_001_619.MDTC	yes
GMGC10.264_705_102.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.284_983_823.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.047_073_395.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.183_614_803.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.265_928_270.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.297_308_990.MDTB	25	GMGC10.018_001_619.MDTC	no
GMGC10.056_100_460.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.247_847_082.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.269_865_924.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.055_658_191.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.179_343_956.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.281_206_302.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.268_526_164.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.247_621_269.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.297_307_869.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.184_652_373.MDTC	25	GMGC10.018_001_619.MDTC	no
GMGC10.247_798_555.MDTC	26	GMGC10.211_755_826.MDTC	no
GMGC10.211_198_823.MDTC	26	GMGC10.211_755_826.MDTC	no
GMGC10.297_577_401.MDTC	26	GMGC10.211_755_826.MDTC	no
GMGC10.281_936_267.MDTC	26	GMGC10.211_755_826.MDTC	no
GMGC10.211_755_826.MDTC	26	GMGC10.211_755_826.MDTC	yes
GMGC10.027_034_051.COBO	27	GMGC10.018_547_765.FUMA	no
GMGC10.018_547_765.FUMA	27	GMGC10.018_547_765.FUMA	yes
GMGC10.020_353_634.UNKNOWN	28	GMGC10.020_353_634.UNKNOWN	yes
GMGC10.019_491_384.RPOB	29	GMGC10.019_491_384.RPOB	yes
GMGC10.015_234_406.RPOB	30	GMGC10.015_234_406.RPOB	yes
GMGC10.039_803_980.SP_0629	31	GMGC10.039_803_980.SP_0629	yes
GMGC10.210_920_336.UNKNOWN	32	GMGC10.210_920_336.UNKNOWN	yes
GMGC10.011_765_018.UNKNOWN	33	GMGC10.012_828_784.UNKNOWN	no
GMGC10.018_995_893.UNKNOWN	33	GMGC10.012_828_784.UNKNOWN	no
GMGC10.030_754_602.UNKNOWN	33	GMGC10.012_828_784.UNKNOWN	no
GMGC10.012_828_784.UNKNOWN	33	GMGC10.012_828_784.UNKNOWN	yes
GMGC10.035_327_348.RPOB	34	GMGC10.035_327_348.RPOB	yes
GMGC10.019_428_695.UNKNOWN	35	GMGC10.019_428_695.UNKNOWN	yes
GMGC10.048_450_309.DPNA	36	GMGC10.211_542_819.UNKNOWN	no
GMGC10.211_542_819.UNKNOWN	36	GMGC10.211_542_819.UNKNOWN	yes
GMGC10.252_776_909.UNKNOWN	37	GMGC10.252_776_909.UNKNOWN	yes
GMGC10.299_190_938.DPNA	38	GMGC10.051_005_459.UNKNOWN	no
GMGC10.051_005_459.UNKNOWN	38	GMGC10.051_005_459.UNKNOWN	yes
GMGC10.010_813_767.RPOB	39	GMGC10.010_813_767.RPOB	yes
GMGC10.153_312_969.UNKNOWN	40	GMGC10.153_312_969.UNKNOWN	yes
GMGC10.022_873_368.OPRM	41	GMGC10.011_027_083.MEXF	no
GMGC10.015_601_005.UNKNOWN	41	GMGC10.011_027_083.MEXF	no
GMGC10.022_477_565.UNKNOWN	41	GMGC10.011_027_083.MEXF	no
GMGC10.018_775_888.UNKNOWN	41	GMGC10.011_027_083.MEXF	no
GMGC10.033_502_211.MEXF	41	GMGC10.011_027_083.MEXF	no
GMGC10.011_027_083.MEXF	41	GMGC10.011_027_083.MEXF	yes
GMGC10.161_105_008.MEXF	42	GMGC10.161_105_008.MEXF	yes
GMGC10.005_340_511.UNKNOWN	43	GMGC10.005_340_511.UNKNOWN	yes
GMGC10.292_167_255.FSR	44	GMGC10.292_398_214.UNKNOWN	no
GMGC10.205_640_085.FSR	44	GMGC10.292_398_214.UNKNOWN	no
GMGC10.292_398_214.UNKNOWN	44	GMGC10.292_398_214.UNKNOWN	yes
GMGC10.017_518_762.MEXF	45	GMGC10.009_546_035.MEXF	no
GMGC10.009_546_035.MEXF	45	GMGC10.009_546_035.MEXF	yes
GMGC10.286_239_711.MEXF	45	GMGC10.009_546_035.MEXF	no
GMGC10.282_398_208.MEXF	45	GMGC10.009_546_035.MEXF	no
GMGC10.277_846_094.MEXF	45	GMGC10.009_546_035.MEXF	no
GMGC10.245_983_434.MEXF	46	GMGC10.245_983_434.MEXF	yes
GMGC10.028_623_773.UNKNOWN	47	GMGC10.028_623_773.UNKNOWN	yes
GMGC10.161_890_633.MEXF	48	GMGC10.161_890_633.MEXF	yes
GMGC10.003_495_775.MEXF2	49	GMGC10.041_868_060.MEXF2	no
GMGC10.041_868_060.MEXF2	49	GMGC10.041_868_060.MEXF2	yes
GMGC10.000_180_832.UNKNOWN	50	GMGC10.000_180_832.UNKNOWN	yes
GMGC10.031_137_151.UNKNOWN	51	GMGC10.031_137_151.UNKNOWN	yes
GMGC10.008_930_395.UNKNOWN	51	GMGC10.031_137_151.UNKNOWN	no
GMGC10.003_515_023.MDTC	52	GMGC10.003_515_023.MDTC	yes
GMGC10.016_559_612.UNKNOWN	53	GMGC10.016_559_612.UNKNOWN	yes
GMGC10.029_767_060.UNKNOWN	54	GMGC10.029_767_060.UNKNOWN	yes
GMGC10.031_582_571.UNKNOWN	55	GMGC10.031_582_571.UNKNOWN	yes
GMGC10.011_394_021.CUSC	56	GMGC10.040_070_737.MEXD	no
GMGC10.018_749_102.CUSC	56	GMGC10.040_070_737.MEXD	no
GMGC10.009_957_802.CUSC	56	GMGC10.040_070_737.MEXD	no
GMGC10.005_928_728.MEXD	56	GMGC10.040_070_737.MEXD	no
GMGC10.015_356_786.MEXD	56	GMGC10.040_070_737.MEXD	no
GMGC10.040_070_737.MEXD	56	GMGC10.040_070_737.MEXD	yes
GMGC10.053_765_574.UNKNOWN	57	GMGC10.209_493_027.UNKNOWN	no
GMGC10.209_493_027.UNKNOWN	57	GMGC10.209_493_027.UNKNOWN	yes
GMGC10.281_093_830.UNKNOWN	58	GMGC10.281_093_830.UNKNOWN	yes
GMGC10.009_899_726.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	yes
GMGC10.052_676_262.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.204_081_830.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.205_871_230.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.055_929_680.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.185_920_595.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.209_233_947.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.208_223_594.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.203_632_885.UNKNOWN	59	GMGC10.009_899_726.UNKNOWN	no
GMGC10.031_130_737.ACRB	60	GMGC10.031_130_737.ACRB	yes
GMGC10.177_498_144.UNKNOWN	61	GMGC10.177_498_144.UNKNOWN	yes
GMGC10.027_398_868.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.149_438_687.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.299_548_737.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.267_316_839.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.057_165_160.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.186_062_189.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.207_386_268.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.150_851_056.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.308_314_869.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.209_080_382.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.186_196_319.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.046_988_105.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.179_437_720.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.151_166_327.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.150_774_273.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.150_656_535.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.266_369_997.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.301_617_586.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.151_428_099.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.307_388_127.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.184_155_856.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.149_914_313.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.308_705_951.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.182_993_095.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.057_082_303.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.307_294_600.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.178_404_687.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.055_595_163.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.208_522_506.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.056_103_947.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.209_079_179.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.309_325_676.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.146_870_751.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.151_215_055.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.055_605_571.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.247_836_026.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.208_812_527.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.309_233_760.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.268_516_879.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.306_669_773.YODJ	62	GMGC10.306_669_773.YODJ	yes
GMGC10.303_675_672.YODJ	62	GMGC10.306_669_773.YODJ	no
GMGC10.014_251_955.ACRB	63	GMGC10.013_337_522.ACRB	no
GMGC10.013_337_522.ACRB	63	GMGC10.013_337_522.ACRB	yes
GMGC10.000_178_144.UNKNOWN	64	GMGC10.000_178_144.UNKNOWN	yes
GMGC10.048_865_906.UNKNOWN	65	GMGC10.048_865_906.UNKNOWN	yes
GMGC10.044_751_345.BPEB	66	GMGC10.044_751_345.BPEB	yes
GMGC10.002_863_355.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.043_133_645.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.031_609_378.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.038_136_663.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.019_689_051.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.014_939_092.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.019_729_425.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.005_802_405.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.028_108_366.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.043_138_945.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.005_335_626.OPRN	67	GMGC10.019_731_083.MEXF	no
GMGC10.022_752_534.MEXF	67	GMGC10.019_731_083.MEXF	no
